Optimization Algorithm: Original NSGA-III
Population Size: 100, Maximum Generations: 200
Crossover Probability: 0.9, Mutation Probability: 0.1, ALO Probability: 0.3
Using OBL Initialization: Yes

=== Optimization Log ===
Generation 57: {'gen': 57, 'evals': 200, 'avg': array([-3.55658190e+07, -3.33553462e+07,  8.60000000e+17]), 'std': array([8.82823053e+07, 8.32640315e+07, 3.46987031e+17]), 'min': array([-2.72304767e+08, -2.63544070e+08,  9.12068534e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 58: {'gen': 58, 'evals': 200, 'avg': array([-3.57437968e+07, -3.40066474e+07,  8.60000000e+17]), 'std': array([8.86847754e+07, 8.44832695e+07, 3.46987031e+17]), 'min': array([-2.71872498e+08, -2.64240219e+08,  9.22514285e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 59: {'gen': 59, 'evals': 200, 'avg': array([-2.77377583e+07, -2.78334292e+07,  8.90000000e+17]), 'std': array([7.89866668e+07, 7.91905081e+07, 3.12889757e+17]), 'min': array([-2.65172796e+08, -2.59554472e+08,  9.09375860e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 60: {'gen': 60, 'evals': 200, 'avg': array([-3.51254187e+07, -3.46027237e+07,  8.60000000e+17]), 'std': array([8.74259245e+07, 8.62662043e+07, 3.46987031e+17]), 'min': array([-2.74027812e+08, -2.66018346e+08,  9.09045630e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 61: {'gen': 61, 'evals': 200, 'avg': array([-4.06764598e+07, -3.92079307e+07,  8.40000000e+17]), 'std': array([9.34316792e+07, 9.00118187e+07, 3.66606056e+17]), 'min': array([-2.73014136e+08, -2.68270225e+08,  8.97420151e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 62: {'gen': 62, 'evals': 200, 'avg': array([-5.99374924e+07, -5.84749439e+07,  7.60000000e+17]), 'std': array([1.06845988e+08, 1.04542448e+08, 4.27083130e+17]), 'min': array([-2.73943356e+08, -2.67954475e+08,  8.98960786e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 63: {'gen': 63, 'evals': 200, 'avg': array([-5.96144569e+07, -5.86950465e+07,  7.60000000e+17]), 'std': array([1.06457708e+08, 1.04606430e+08, 4.27083130e+17]), 'min': array([-2.73808326e+08, -2.69606357e+08,  8.97276565e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 64: {'gen': 64, 'evals': 200, 'avg': array([-7.49740411e+07, -7.44851979e+07,  7.00000000e+17]), 'std': array([1.14851560e+08, 1.13924672e+08, 4.58257569e+17]), 'min': array([-2.71364136e+08, -2.69820475e+08,  9.05586739e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 65: {'gen': 65, 'evals': 200, 'avg': array([-6.51573680e+07, -6.71443813e+07,  7.30000000e+17]), 'std': array([1.07952489e+08, 1.10506833e+08, 4.43959458e+17]), 'min': array([-2.72075933e+08, -2.62710117e+08,  9.08798223e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 66: {'gen': 66, 'evals': 200, 'avg': array([-6.37662634e+07, -6.49129389e+07,  7.40000000e+17]), 'std': array([1.08459097e+08, 1.09624520e+08, 4.38634244e+17]), 'min': array([-2.72595373e+08, -2.65076077e+08,  9.21777007e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 67: {'gen': 67, 'evals': 200, 'avg': array([-5.35088684e+07, -5.16557017e+07,  7.90000000e+17]), 'std': array([1.03967558e+08, 1.00302288e+08, 4.07308237e+17]), 'min': array([-2.72474295e+08, -2.63520039e+08,  9.24752049e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 68: {'gen': 68, 'evals': 200, 'avg': array([-4.16123011e+07, -3.95722330e+07,  8.40000000e+17]), 'std': array([9.53779776e+07, 9.07576617e+07, 3.66606056e+17]), 'min': array([-2.70639372e+08, -2.63411169e+08,  9.25906316e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 69: {'gen': 69, 'evals': 200, 'avg': array([-2.27961782e+07, -2.23763111e+07,  9.10000000e+17]), 'std': array([7.25648844e+07, 7.11780660e+07, 2.86181760e+17]), 'min': array([-2.64936266e+08, -2.55068558e+08,  9.38144168e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 70: {'gen': 70, 'evals': 200, 'avg': array([-3.20482758e+07, -3.26108832e+07,  8.70000000e+17]), 'std': array([8.30516689e+07, 8.43936244e+07, 3.36303434e+17]), 'min': array([-2.65759127e+08, -2.59609585e+08,  9.24508770e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 71: {'gen': 71, 'evals': 200, 'avg': array([-3.69142566e+07, -3.78825386e+07,  8.50000000e+17]), 'std': array([8.80993882e+07, 9.02547049e+07, 3.57071421e+17]), 'min': array([-2.66733557e+08, -2.69506367e+08,  9.23959704e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 72: {'gen': 72, 'evals': 200, 'avg': array([-2.35165006e+07, -2.26023824e+07,  9.10000000e+17]), 'std': array([7.47958742e+07, 7.19537504e+07, 2.86181760e+17]), 'min': array([-2.70767215e+08, -2.61857609e+08,  9.25899395e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 73: {'gen': 73, 'evals': 200, 'avg': array([-3.11858317e+07, -2.94976178e+07,  8.80000000e+17]), 'std': array([8.44817751e+07, 8.02337577e+07, 3.24961536e+17]), 'min': array([-2.67570354e+08, -2.66728203e+08,  9.26844218e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
