优化算法: 改进NSGA-III
种群大小: 100, 最大代数: 200
交叉概率: 0.9, 变异概率: 0.1, ALO概率: 0.3
使用OBL初始化: 是

=== 优化日志 ===
代数 57: {'gen': 57, 'evals': 200, 'avg': array([-3.14361695e+07, -2.99187688e+07,  8.80000000e+17]), 'std': array([8.52059962e+07, 8.12580423e+07, 3.24961536e+17]), 'min': array([-2.80726084e+08, -2.73783069e+08,  9.01137882e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 58: {'gen': 58, 'evals': 220, 'avg': array([-4.37104138e+07, -4.28675714e+07,  8.30000000e+17]), 'std': array([9.68411304e+07, 9.52724609e+07, 3.75632799e+17]), 'min': array([-2.78252939e+08, -2.78381935e+08,  8.99697494e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 59: {'gen': 59, 'evals': 200, 'avg': array([-4.02779874e+07, -4.05027367e+07,  8.40000000e+17]), 'std': array([9.24254608e+07, 9.30595875e+07, 3.66606056e+17]), 'min': array([-2.79791299e+08, -2.77768876e+08,  8.95377076e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 60: {'gen': 60, 'evals': 200, 'avg': array([-6.07146981e+07, -6.02928340e+07,  7.60000000e+17]), 'std': array([1.08487863e+08, 1.07734805e+08, 4.27083130e+17]), 'min': array([-2.80840896e+08, -2.79646048e+08,  8.97931703e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 61: {'gen': 61, 'evals': 200, 'avg': array([-3.91366463e+07, -3.75799652e+07,  8.50000000e+17]), 'std': array([9.34167676e+07, 8.97276043e+07, 3.57071421e+17]), 'min': array([-2.80751436e+08, -2.74768454e+08,  9.04836589e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 62: {'gen': 62, 'evals': 220, 'avg': array([-3.44630106e+07, -3.34225709e+07,  8.70000000e+17]), 'std': array([8.92426659e+07, 8.67096320e+07, 3.36303434e+17]), 'min': array([-2.78681215e+08, -2.78600179e+08,  9.04831143e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 63: {'gen': 63, 'evals': 200, 'avg': array([-4.17851526e+07, -4.09252154e+07,  8.40000000e+17]), 'std': array([9.59713077e+07, 9.39656127e+07, 3.66606056e+17]), 'min': array([-2.76600883e+08, -2.77299160e+08,  9.01629065e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 64: {'gen': 64, 'evals': 200, 'avg': array([-4.39200529e+07, -4.11190210e+07,  8.30000000e+17]), 'std': array([9.73380774e+07, 9.12795520e+07, 3.75632799e+17]), 'min': array([-2.78988151e+08, -2.75321692e+08,  9.01817581e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 65: {'gen': 65, 'evals': 200, 'avg': array([-4.66063377e+07, -4.81298371e+07,  8.10000000e+17]), 'std': array([9.66882846e+07, 9.97479933e+07, 3.92300905e+17]), 'min': array([-2.80093092e+08, -2.78511485e+08,  9.01878733e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 66: {'gen': 66, 'evals': 200, 'avg': array([-4.54432848e+07, -4.68306849e+07,  8.20000000e+17]), 'std': array([9.73295123e+07, 1.00085400e+08, 3.84187454e+17]), 'min': array([-2.81133515e+08, -2.76902224e+08,  8.99490475e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 67: {'gen': 67, 'evals': 200, 'avg': array([-5.00798385e+07, -4.92717721e+07,  8.00000000e+17]), 'std': array([1.00741054e+08, 9.90792823e+07, 4.00000000e+17]), 'min': array([-2.81198359e+08, -2.79255560e+08,  9.04353649e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 68: {'gen': 68, 'evals': 200, 'avg': array([-3.91737738e+07, -3.78339590e+07,  8.50000000e+17]), 'std': array([9.34758715e+07, 9.03163927e+07, 3.57071421e+17]), 'min': array([-2.81283767e+08, -2.72369790e+08,  9.06450065e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 69: {'gen': 69, 'evals': 200, 'avg': array([-3.24379954e+07, -3.09760794e+07,  8.80000000e+17]), 'std': array([8.79374906e+07, 8.40518377e+07, 3.24961536e+17]), 'min': array([-2.81138415e+08, -2.74530760e+08,  9.06867810e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 70: {'gen': 70, 'evals': 200, 'avg': array([-2.66648157e+07, -2.57198867e+07,  9.00000000e+17]), 'std': array([8.01587147e+07, 7.74053848e+07, 3.00000000e+17]), 'min': array([-2.81529352e+08, -2.77328128e+08,  9.05553941e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 71: {'gen': 71, 'evals': 200, 'avg': array([-2.42973925e+07, -2.39969254e+07,  9.10000000e+17]), 'std': array([7.73557310e+07, 7.64623795e+07, 2.86181760e+17]), 'min': array([-2.81794596e+08, -2.83491046e+08,  9.05564578e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 72: {'gen': 72, 'evals': 220, 'avg': array([-3.94161596e+07, -4.22471218e+07,  8.40000000e+17]), 'std': array([9.07489544e+07, 9.69363944e+07, 3.66606056e+17]), 'min': array([-2.82010300e+08, -2.83105432e+08,  9.05662604e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 73: {'gen': 73, 'evals': 200, 'avg': array([-3.71433569e+07, -3.64972789e+07,  8.60000000e+17]), 'std': array([9.23253481e+07, 9.05837749e+07, 3.46987031e+17]), 'min': array([-2.81480238e+08, -2.77064805e+08,  9.01498453e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 74: {'gen': 74, 'evals': 200, 'avg': array([-3.68730685e+07, -3.61256922e+07,  8.60000000e+17]), 'std': array([9.18024480e+07, 8.99487398e+07, 3.46987031e+17]), 'min': array([-2.82991269e+08, -2.82873548e+08,  9.04373175e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 75: {'gen': 75, 'evals': 200, 'avg': array([-1.84454357e+07, -1.91021491e+07,  9.30000000e+17]), 'std': array([6.73091074e+07, 6.96593249e+07, 2.55147016e+17]), 'min': array([-2.82192236e+08, -2.82769155e+08,  9.07199956e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 76: {'gen': 76, 'evals': 220, 'avg': array([-2.66221317e+07, -2.64883835e+07,  9.00000000e+17]), 'std': array([7.99208444e+07, 7.95670322e+07, 3.00000000e+17]), 'min': array([-2.82452633e+08, -2.83011460e+08,  9.03845274e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
